epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,1132.22,0.52112,0.93185,0.80269,0.97228,0,0.80222,0.78565,0.82786,0.72898,0.789,0.75524,0.80539,0.71331,0.52521,1.4931,0.7366,1.0064,0,0.0002525,0.0002525,0.0002525
52,1160.75,0.52794,0.97338,0.7994,0.98286,0,0.77342,0.79823,0.81667,0.73267,0.76711,0.79163,0.79584,0.70818,0.49528,1.1901,0.76827,0.96819,0,0.000244726,0.000244726,0.000244726
53,1187.94,0.54442,0.94497,0.80165,0.99062,0,0.86633,0.77904,0.80708,0.72683,0.84061,0.75213,0.77358,0.69116,0.47844,1.11866,0.74189,0.96347,0,0.000236959,0.000236959,0.000236959
54,1211.07,0.48704,0.91978,0.74428,0.96189,0,0.85128,0.76843,0.81787,0.72959,0.83615,0.75658,0.79897,0.69665,0.4997,1.32323,0.76489,0.99328,0,0.000229208,0.000229208,0.000229208
55,1235.1,0.49926,0.95602,0.72646,0.9679,0,0.82605,0.79859,0.82024,0.71757,0.8723,0.76315,0.80712,0.71071,0.50462,1.31085,0.76232,0.98782,0,0.00022148,0.00022148,0.00022148
56,1259.04,0.47836,0.90605,0.69117,0.95928,0,0.87902,0.76466,0.83421,0.73254,0.78675,0.7999,0.81047,0.71914,0.50359,1.13827,0.76871,1.00153,0,0.000213782,0.000213782,0.000213782
57,1282.39,0.49,0.94846,0.70802,0.95534,0,0.85232,0.79123,0.84481,0.74216,0.82889,0.77882,0.81301,0.72671,0.52126,1.13605,0.74553,1.01977,0,0.000206123,0.000206123,0.000206123
58,1306.04,0.45823,0.92405,0.73652,0.95927,0,0.85459,0.79171,0.84403,0.74796,0.83052,0.77552,0.81353,0.71482,0.4882,1.30577,0.70399,1.00457,0,0.00019851,0.00019851,0.00019851
59,1329.26,0.48993,0.89277,0.69184,0.96587,0,0.86978,0.81701,0.86376,0.76282,0.8467,0.79745,0.82902,0.73673,0.47514,1.11479,0.6837,0.97944,0,0.000190949,0.000190949,0.000190949
60,1354,0.47761,0.90822,0.65784,0.96166,0,0.83048,0.82896,0.86153,0.76805,0.82845,0.79521,0.82679,0.73122,0.45605,1.17489,0.65928,0.96429,0,0.00018345,0.00018345,0.00018345
